Episodio;Perdida
20;16232.582
40;16514.442
60;15853.401
80;13760.704
100;16454.368
120;13698.469
140;13855.091
160;13259.933
180;12919.29
200;12486.265
220;11974.726
240;11677.199
260;11577.88
280;11801.947
300;11008.866
320;10882.791
340;10149.925
360;10071.605
380;11152.813
400;11527.348
420;12746.011
440;11617.882
460;10940.179
480;10998.095
500;11154.543
520;12643.298
540;11108.715
560;10369.119
580;9772.136
600;9864.805
620;9739.521
640;9795.956
660;11622.079
680;12679.011
700;11650.719
720;12765.791
740;11205.857
760;9960.328
780;9253.04
800;8928.748
820;8850.661
840;13964.032
860;12594.227
880;12345.181
900;10077.651
920;11495.218
940;11923.934
960;11647.253
980;12136.212
1000;11212.412
1020;12180.518
1040;10755.38
1060;9852.837
1080;9207.251
1100;10718.009
1120;9381.035
1140;12466.44
1160;11435.265
1180;12579.351
1200;13660.606
1220;12289.458
1240;11089.315
1260;11193.349
1280;12809.647
1300;11355.672
1320;14944.814
1340;13100.289
1360;10668.117
1380;11922.952
1400;10699.622
1420;11752.583
1440;10516.585
1460;11335.47
1480;11417.719
1500;14608.11
1520;11948.503
1540;12034.823
1560;11686.751
1580;10711.481
1600;11260.381
1620;10628.423
1640;10748.19
1660;10225.596
1680;9814.513
1700;11152.638
1720;10895.576
1740;12729.582
1760;10870.273
1780;12873.101
1800;11810.238
1820;13345.264
1840;11968.608
1860;13560.843
1880;11545.386
1900;11516.382
1920;11048.99
1940;10962.721
1960;10928.377
1980;12011.716
2000;10074.094
